사업년도,선정년도,대사업명,중사업명,소사업명,세부사업명,과제명,연구책임자명,연구자번호,주관기관명,보안과제여부
2024,2020,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000000,KAIST,N
2025,,기초연구사업,개인연구,우수신진연구,신진후속,산업용 전력 데이터 이상탐지 알고리즘 개발,홍길동,1000001,국립한밭대학교,N
2023,2023,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000002,국립한밭대학교,N
2023,2022,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000003,국립한밭대학교,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000004,국립한밭대학교,N
2025,2023,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000005,서울대학교,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,딥러닝 기반 수질 예측 모형,홍길동,1000006,국립한밭대학교,N
2025,2020,기초연구사업,개인연구,우수신진연구,신진후속,도시 열섬 완화를 위한 공간분석,홍길동,1000007,국립한밭대학교,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000008,KAIST,N
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000009,KAIST,N
2023,2023,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000010,서울대학교,Y
2025,2022,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000011,서울대학교,N
2023,2020,기초연구사업,개인연구,우수신진연구,신진후속,고체전해질 계면 안정화 연구,홍길동,1000012,KAIST,N
2024,2023,기초연구사업,개인연구,우수신진연구,신진후속,산업용 전력 데이터 이상탐지 알고리즘 개발,홍길동,1000013,KAIST,Y
2024,2024,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000014,서울대학교,N
2024,2023,기초연구사업,개인연구,우수신진연구,신진후속,산업용 전력 데이터 이상탐지 알고리즘 개발,홍길동,1000015,국립한밭대학교,N
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,양자배터리 충전 제어 특성 연구,홍길동,1000016,국립한밭대학교,N
2025,2021,기초연구사업,개인연구,우수신진연구,신진후속,저전력 엣지 AI 가속기 설계,홍길동,1000017,서울대학교,Y
2023,2019,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000018,서울대학교,Y
2025,2019,기초연구사업,개인연구,우수신진연구,신진후속,산업용 전력 데이터 이상탐지 알고리즘 개발,홍길동,1000019,KAIST,N
2025,2021,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000020,서울대학교,N
2024,2022,기초연구사업,개인연구,우수신진연구,신진후속,강화학습 기반 제조공정 에너지 최적화 연구,홍길동,1000021,국립한밭대학교,N
2023,2019,기초연구사업,개인연구,우수신진연구,신진후속,단백질 구조 예측 모델 개선,홍길동,1000022,서울대학교,N
